"","id","Sp_no","Species.name","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","latdec_fudged","londec_fudged","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"59879",119529,11,11,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",12,6,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"19951",78698,753,753,42,37,0,147,16,0,42.616656,147.266668,0,0,"","LLG","1","TAS",NA,"Chauncy Vale","","","","","",29,6,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"24308",83004,607,607,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",15,12,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"56843",116406,66,66,43,25,0,146,52,0,43.416655,146.866671,0,0,"","LLG","1","TAS",NA,"Hastings Caves SR","","","","","",31,5,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"23549",82575,635,635,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",15,8,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"7130",65716,1805,1805,43,23,0,147,19,0,43.38332,147.316671,0,0,"","LLG","1","TAS",NA,"Mavista Falls","","","","","",8,4,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"60140",119786,7,7,42,56,0,147,16,0,42.933323,147.26667,0,0,"","LLG","1","TAS",NA,"Summerleas Road (Attila Vrana's property)","","","","","",20,1,2005,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"2420",12602,11,11,43,12,0,146,52,0,-43.2,146.8666667,NA,NA,"120","LLU","","TAS",NA,"Kermandie Falls: lower track","wet sclerophyll","","","","",23,9,1999,"","",3,"N","N",1,"","",NA,NA,NA,NA,"11/12/02","GE","S","",NA,"with D. Ratkowsky",NA,NA,"",NA,NA,2,279,NA,NA,NA
"16780",75465,1010,1010,42,56,0,147,16,0,42.933323,147.26667,0,0,"","LLG","1","TAS",NA,"Summerleas Road (Attila Vrana's property)","","","","","",2,8,2005,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"36013",95094,415,415,43,6,0,146,41,0,43.099987,146.683338,0,0,"","LLG","1","TAS",NA,"Warra SST","","","","","",20,5,2006,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"3015",13808,82,82,42,41,0,146,42,0,-42.68333333,146.7,NA,NA,"","LLU","","TAS",NA,"Mount Field NP: Falls Track and River Walk","wet sclerophyll","","","","",29,6,2000,"","",4,"N","N",1,"","",NA,NA,NA,NA,"20/2/03","GE","S","",NA,"frondose habit; with D. Ratkowsky",NA,NA,"",NA,NA,2,279,NA,NA,NA
